# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494828264974e-10       7.287313688725e-15       4.814096252386e-13       0.000000000000e+00       8.825903058231e-09       4.854150749443e-10      -2.509219549651e-12 
    3       1.409122105780e-10       1.233902880819e-14       6.057286790409e-13       0.000000000000e+00       5.419463281599e-09       3.460026351895e-10      -2.206937944323e-12 
    4       1.324544823322e-10       1.440621066042e-14       6.265770127195e-13       0.000000000000e+00       3.766408735551e-09       2.633926186933e-10      -1.760439141533e-12 
    5       1.257513137066e-10       1.332205209435e-14       5.867648098929e-13       0.000000000000e+00       2.811293187903e-09       2.090163784278e-10      -1.306629525957e-12 
    6       1.208120869506e-10       1.027922549122e-14       5.163405914201e-13       0.000000000000e+00       2.196180534890e-09       1.706914477570e-10      -8.928084131806e-13 
    7       1.173408623779e-10       6.812756681980e-15       4.356806602877e-13       0.000000000000e+00       1.772055636051e-09       1.423924788029e-10      -5.430788760841e-13 
    8       1.150184689758e-10       4.025925482802e-15       3.570204966413e-13       0.000000000000e+00       1.464715375091e-09       1.207600688848e-10      -2.682001859814e-13 
    9       1.135999047786e-10       2.327640311315e-15       2.876099606730e-13       0.000000000000e+00       1.233340325095e-09       1.037760371988e-10      -6.979417253752e-14 
   10       1.128711898777e-10       1.566529326122e-15       2.315155740197e-13       0.000000000000e+00       1.053960822804e-09       9.019198405369e-11       5.746711027268e-14 
   11       1.126923107212e-10       1.341934732642e-15       1.904071879181e-13       0.000000000000e+00       8.886903860267e-10       7.947034622453e-11       1.231717665687e-13 
   12       1.129548799416e-10       1.284647517059e-15       1.640099811402e-13       0.000000000000e+00       7.765290377875e-10       7.024902259953e-11       1.419413111329e-13 
   13       1.135393861748e-10       1.197293055336e-15       1.505553598677e-13       0.000000000000e+00       6.844577118690e-10       6.271628658910e-11       1.275338464220e-13 
   14       1.143472714342e-10       1.051900777726e-15       1.474321893976e-13       0.000000000000e+00       6.078521612658e-10       5.618594391725e-11       9.266691335211e-14 
   15       1.153846709382e-10       9.082003571161e-16       1.517032299101e-13       0.000000000000e+00       5.433708909365e-10       5.073048762596e-11       4.955835191105e-14 
   16       1.166123328419e-10       8.273594701504e-16       1.603492330936e-13       0.000000000000e+00       4.885469503857e-10       4.610648081458e-11       7.287311879678e-15 
   17       1.179479404948e-10       8.268120056133e-16       1.708128722325e-13       0.000000000000e+00       4.415169129369e-10       4.211387840437e-11      -2.781512970756e-14 
   18       1.193951057994e-10       8.792799797659e-16       1.813017201380e-13       0.000000000000e+00       4.006967566019e-10       3.856708462470e-11      -5.220563898497e-14 
   19       1.209617406771e-10       9.521461361571e-16       1.908431963620e-13       0.000000000000e+00       3.654388838234e-10       3.543633712581e-11      -6.499029399812e-14 
   20       1.225922496891e-10       1.011950917561e-15       1.986600898248e-13       0.000000000000e+00       3.343847842773e-10       3.266854102995e-11      -6.697819928179e-14 
   21       1.242986584907e-10       1.061694771226e-15       2.048212512682e-13       0.000000000000e+00       3.070470402728e-10       3.021993928209e-11      -6.030378254004e-14 
   22       1.260806657719e-10       1.119548206578e-15       2.097813911421e-13       0.000000000000e+00       2.827719397663e-10       2.800986773810e-11      -4.831774029106e-14 
   23       1.279272746921e-10       1.204745356874e-15       2.140148493519e-13       0.000000000000e+00       2.612259784876e-10       2.600783654825e-11      -3.397214623314e-14 
   24       1.298061751445e-10       1.335663864776e-15       2.180692540513e-13       0.000000000000e+00       2.419113336402e-10       2.418066743693e-11      -2.037156952537e-14 
   25       1.317344444957e-10       1.512725034946e-15       2.224077850968e-13       0.000000000000e+00       2.246011273546e-10       2.253721062135e-11      -9.356086265938e-15 
   26       1.337247098695e-10       1.729008298291e-15       2.274309363830e-13       0.000000000000e+00       2.089823761721e-10       2.107898560312e-11      -2.258191611191e-15 
   27       1.357579865132e-10       1.978160121413e-15       2.331747655550e-13       0.000000000000e+00       1.948678297651e-10       1.977257946996e-11       7.260223373471e-16 
   28       1.377983895322e-10       2.253818055947e-15       2.394886890990e-13       0.000000000000e+00       1.820142089551e-10       1.856687222336e-11      -2.100461506486e-17 
   29       1.398556490778e-10       2.555472984607e-15       2.460737792948e-13       0.000000000000e+00       1.703559555177e-10       1.745766685625e-11      -3.695849025828e-15 
   30       1.419440922771e-10       2.884311945932e-15       2.524896265673e-13       0.000000000000e+00       1.597679797638e-10       1.644673525131e-11      -9.073407800239e-15 
