# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494833139476e-10       7.287552792956e-15       4.814096200487e-13       2.391041979482e-19       8.825903058231e-09       4.854150749443e-10      -2.509219549651e-12 
    3       1.409131832924e-10       1.233950724856e-14       6.057286559563e-13       4.784400492394e-19       5.419463281599e-09       3.460026351895e-10      -2.206937944323e-12 
    4       1.324560987199e-10       1.440700856871e-14       6.265769465571e-13       7.979067174296e-19       3.766408735551e-09       2.633926186933e-10      -1.760439141533e-12 
    5       1.257537294123e-10       1.332324989041e-14       5.867646596432e-13       1.197790705423e-18       2.811293187903e-09       2.090163784278e-10      -1.306629525957e-12 
    6       1.208154542895e-10       1.028090393738e-14       5.163402970892e-13       1.678431636386e-18       2.196180534890e-09       1.706914477570e-10      -8.928084131806e-13 
    7       1.173453298467e-10       6.814996926581e-15       4.356801402135e-13       2.240211008115e-18       1.772055636051e-09       1.423924788029e-10      -5.430788760841e-13 
    8       1.150241808510e-10       4.028809091493e-15       3.570196453367e-13       2.883539731579e-18       1.464715375091e-09       1.207600688848e-10      -2.682001859814e-13 
    9       1.136070008087e-10       2.331249285193e-15       2.876086472235e-13       3.608844946236e-18       1.233340325095e-09       1.037760371988e-10      -6.979417253752e-14 
   10       1.128798050715e-10       1.570946106204e-15       2.315136410385e-13       4.416556631825e-18       1.053960822804e-09       9.019198405369e-11       5.746711027268e-14 
   11       1.127025752340e-10       1.347242190597e-15       1.904044510413e-13       5.307094542328e-18       8.886903860267e-10       7.947034622453e-11       1.231717665687e-13 
   12       1.129669190558e-10       1.290928932607e-15       1.640062290229e-13       6.280855972390e-18       7.765290377875e-10       7.024902259953e-11       1.419413111329e-13 
   13       1.135533203702e-10       1.204632081115e-15       1.505503546223e-13       7.338204830396e-18       6.844577118690e-10       6.271628658910e-11       1.275338464220e-13 
   14       1.143632165378e-10       1.060381392863e-15       1.474256674018e-13       8.479462437028e-18       6.078521612658e-10       5.618594391725e-11       9.266691335211e-14 
   15       1.154027383452e-10       9.179068110459e-16       1.516949028984e-13       9.704900395745e-18       5.433708909365e-10       5.073048762596e-11       4.955835191105e-14 
   16       1.166326297933e-10       8.383762185749e-16       1.603387894423e-13       1.101473579520e-17       4.885469503857e-10       4.610648081458e-11       7.287311879678e-15 
   17       1.179705703992e-10       8.392236406578e-16       1.707999783416e-13       1.240912890668e-17       4.415169129369e-10       4.211387840437e-11      -2.781512970756e-14 
   18       1.194201685889e-10       8.931711556166e-16       1.812860218698e-13       1.388818221458e-17       4.006967566019e-10       3.856708462470e-11      -5.220563898497e-14 
   19       1.209893331446e-10       9.676014981974e-16       1.908243201677e-13       1.545194928395e-17       3.654388838234e-10       3.543633712581e-11      -6.499029399812e-14 
   20       1.226224658956e-10       1.029055021922e-15       1.986376442378e-13       1.710042652947e-17       3.343847842773e-10       3.266854102995e-11      -6.697819928179e-14 
   21       1.243315900587e-10       1.080532021961e-15       2.047948275345e-13       1.883357833096e-17       3.070470402728e-10       3.021993928209e-11      -6.030378254004e-14 
   22       1.261164022571e-10       1.140202781935e-15       2.097505642855e-13       2.065132719991e-17       2.827719397663e-10       2.800986773810e-11      -4.831774029106e-14 
   23       1.279659038018e-10       1.227301159369e-15       2.139791783436e-13       2.255358363722e-17       2.612259784876e-10       2.600783654825e-11      -3.397214623314e-14 
   24       1.298477830344e-10       1.360204460127e-15       2.180282824208e-13       2.454023625315e-17       2.419113336402e-10       2.418066743693e-11      -2.037156952537e-14 
   25       1.317791158658e-10       1.539333621757e-15       2.223610407004e-13       2.661118658179e-17       2.246011273546e-10       2.253721062135e-11      -9.356086265938e-15 
   26       1.337725281571e-10       1.757767663812e-15       2.273779316251e-13       2.876633699236e-17       2.089823761721e-10       2.107898560312e-11      -2.258191611191e-15 
   27       1.358090338975e-10       2.009152625854e-15       2.331149970607e-13       3.100562119792e-17       1.948678297651e-10       1.977257946996e-11       7.260223373471e-16 
   28       1.378527470004e-10       2.287125607688e-15       2.394216378129e-13       3.332899653631e-17       1.820142089551e-10       1.856687222336e-11      -2.100461506486e-17 
   29       1.399133962135e-10       2.591177054782e-15       2.459989105994e-13       3.573647912137e-17       1.703559555177e-10       1.745766685625e-11      -3.695849025828e-15 
   30       1.420053072436e-10       2.922493556214e-15       2.524063904877e-13       3.822812418266e-17       1.597679797638e-10       1.644673525131e-11      -9.073407800239e-15 
   31       1.441324313405e-10       3.281642015826e-15       2.581223611364e-13       4.080402597140e-17       1.500344212568e-10       1.552653458021e-11      -1.471779365182e-14 
   32       1.462977131523e-10       3.666504276970e-15       2.627593169368e-13       4.346434125120e-17       1.411050901017e-10       1.468779464106e-11      -1.976605514627e-14 
   33       1.484945032510e-10       4.073468416300e-15       2.659179895388e-13       4.620928298179e-17       1.329169137843e-10       1.391284772353e-11      -2.341130076182e-14 
